,Stretch bigs,Playmakers,Ball handlers,Driving bigs,Spot-up shooters,Low-post bigs,Off-ball wings
P&R Ball Handler,0.02013939114042254,0.4307249830501869,0.601622571128635,0.002399891475910687,0.06106093440424157,0.0027929845777819873,0.22855522266536282
Spot-Up,0.25871165059172374,0.1833905436276944,0.12712595577264807,0.07328178412579128,0.40709310125738707,0.07369416409070947,0.2708926873896969
Transition,0.10490063870559643,0.1259554966606705,0.08842120449403303,0.07021321802965469,0.14039899856197244,0.055184596435101076,0.1586079911196213
ISO,0.05178327611425334,0.09227051336308936,0.08484743120156807,0.01742229640866489,0.037209743760671765,0.024256169393084948,0.06846799307449905
Post-Up,0.16871138628598706,0.015543989145324441,0.00563190028354639,0.1574748876688618,0.04555493879836508,0.35776654515692763,0.027159210010192315
P&R Roll Man,0.10947967138688147,0.00111525076131902,0.000376521611011274,0.21522309635174908,0.04029853098701985,0.15294863763327485,0.004547110645663141
Cut,0.11283411565515625,0.02631665432501993,0.012913270919095055,0.2138676208265421,0.07688977424776702,0.15205263233141092,0.04553890272589829
Offensive Rebound,0.1370677645339577,0.04410016732828185,0.028995122626704603,0.24411520707068557,0.11453752112965324,0.17291971495817895,0.0672000928168554
Off Screen,0.02935972274151745,0.048523110885948906,0.023081148003875767,0.00399971783195862,0.057839960999933625,0.006858717818012033,0.089482345984765
Hand Off,0.007012382844504009,0.03205929085246459,0.026984873958882744,0.0020022802101813987,0.019116495852988392,0.0015258376055180753,0.039548443567445746
