,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Ricky Rubio,284,121,64,20,0,0,9,25,7,16,546
Luis Scola,0,122,105,19,304,167,125,97,20,1,960
Rudy Fernandez,109,103,54,33,0,1,20,37,36,12,405
Juancho Hernangomez,2,53,25,5,5,8,26,35,13,1,173
Pierre Oriola,0,21,10,0,3,8,18,38,1,1,100
Facundo Campazzo,595,74,140,70,0,2,9,24,16,29,959
Patricio Garino,28,80,73,6,12,0,16,20,7,7,249
Marc Gasol,2,50,33,14,166,115,52,30,5,2,469
Nicolas Brussino,88,61,47,6,5,0,10,17,42,11,287
Sergio Llull,282,85,71,39,0,0,2,6,13,17,515
Gabriel Deck,15,61,41,13,51,22,29,38,5,0,275
Pau Ribas,38,31,12,4,0,0,1,4,6,2,98
Marcos Delia,1,2,34,0,40,56,110,53,0,0,296
Willy Hernangomez,1,3,11,2,40,46,29,30,0,0,162
Nicolas Laprovittola,442,91,106,47,0,0,5,21,24,15,751
Luca Vildoza,76,17,15,5,1,0,0,2,1,7,124
Victor Claver,2,68,22,2,5,11,33,52,3,1,199
Tayavek Gallizzi,0,1,6,0,3,6,14,8,0,0,38
Quino Colom,201,22,21,16,0,0,1,11,4,10,286
Lucio Redivo,51,42,28,7,0,0,1,8,22,14,173
Xavier Rabaseda,5,14,4,0,1,0,4,2,0,0,30
Maximo Fjellerup,13,21,19,2,0,0,4,5,5,0,69
Andrew Bogut,4,5,5,2,18,13,42,19,0,2,110
Evan Fournier,157,73,54,30,4,0,18,10,45,30,421
Rudy Gobert,0,2,15,1,33,45,73,80,1,0,250
Nick Kay,2,27,18,2,24,15,60,57,1,0,206
Patrick Mills,107,46,42,25,0,0,26,9,66,13,334
Frank Ntilikina,35,20,10,1,0,0,0,4,6,3,79
Nicolas Batum,97,120,57,33,30,1,49,32,73,48,540
Matthew Dellavedova,172,46,26,30,1,2,5,16,9,19,326
Jock Landale,0,12,13,1,12,6,9,5,0,1,59
Nando de Colo,179,66,53,27,19,0,36,11,37,17,445
Aron Baynes,1,11,11,13,62,48,62,47,2,0,257
Vincent Poirier,0,4,11,0,19,16,18,18,1,0,87
Amath Mbaye,0,33,9,3,2,1,3,6,5,0,62
Chris Goulding,30,47,21,7,0,0,8,4,29,16,162
Andrew Albicy,120,39,7,11,0,0,0,3,1,2,183
Joe Ingles,130,43,42,17,4,1,10,4,16,15,282
Axel Toupane,8,10,8,0,0,0,1,0,2,0,29
Louis Labeyrie,0,7,7,0,8,4,20,16,2,0,64
Mitch Creek,18,28,52,2,10,0,31,28,2,5,176
Bogdan Bogdanovic,352,167,96,94,31,1,34,31,87,69,962
Vojtech Hruban,109,125,72,36,3,1,14,44,47,16,467
Martin KrÃ­z,0,7,9,0,5,0,8,10,0,0,39
Nikola Milutinov,0,0,7,0,30,19,20,17,0,0,93
Ondrej BalvÃ­n,0,6,2,0,18,14,19,14,0,0,73
Tomas Satoransky,104,24,18,17,13,0,10,7,7,9,209
Jaromir Bohacik,120,102,43,38,26,1,6,21,28,7,392
Nikola Jokic,3,22,16,2,82,29,44,31,3,0,232
Patrik Auda,1,55,34,8,50,52,51,33,2,0,286
Vladimir Lucic,5,50,26,1,4,0,26,24,1,1,138
Stefan Jovic,152,62,48,16,0,0,14,25,3,7,327
Miroslav Raduljica,2,32,45,6,222,78,108,57,1,0,551
Martin Peterka,0,29,14,0,5,29,8,17,2,0,104
Vasilije Micic,154,38,24,23,2,1,4,10,3,9,268
Pavel Pumprla,27,81,46,23,35,2,30,29,3,6,282
Stefan Bircevic,0,73,20,0,7,7,27,28,2,0,164
Marko Guduric,27,19,14,3,0,2,4,6,3,2,80
Nemanja Bjelica,76,114,63,89,24,12,30,52,21,5,486
Boban Marjanovic,0,3,6,0,115,14,19,23,1,0,181
Marko Simonovic,2,68,34,2,4,4,32,14,5,2,167
Jakub Sirina,99,36,22,19,0,0,0,7,2,7,192
Tomas Vyoral,2,1,0,0,0,0,0,0,0,0,3
Lukas Palyza,6,58,17,2,0,2,0,5,8,0,98
Myles Turner,0,12,3,3,8,18,10,13,2,0,69
Joe Harris,1,26,8,0,0,0,3,10,8,3,59
A.J. Slaughter,274,33,29,71,0,0,6,12,5,24,454
Adam Waczynski,86,127,44,18,18,1,15,13,59,17,398
Harrison Barnes,3,29,25,7,5,7,12,13,3,1,105
Donovan Mitchell,60,26,18,5,0,1,1,7,2,2,122
Mateusz Ponitka,180,65,90,16,23,0,55,43,4,13,489
Khris Middleton,21,32,10,3,3,2,3,10,8,1,93
