,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Ante Tomic,0,36,62,7,1117,664,507,478,4,0,2875
Rudy Fernandez,645,512,215,160,30,3,58,138,404,116,2281
Kostas Papanikolau,52,114,48,16,10,0,32,33,16,4,325
Juan Carlos Navarro,1004,212,106,47,0,2,2,25,281,64,1743
Bostjan Nachbar,83,490,120,119,101,63,70,72,112,7,1237
Nikola Mirotic,5,150,82,51,197,54,57,84,61,2,743
Tremmell Darden,97,324,148,70,130,16,98,107,54,16,1060
Marcelinho Huertas,2026,316,136,116,0,1,48,96,28,54,2821
Ioannis Bourousis,0,156,54,16,774,216,113,201,5,1,1536
Sergio Llull,2341,467,568,238,12,2,26,45,201,104,4004
Jaycee Carroll,157,538,292,43,5,3,123,117,950,79,2307
Brad Oleson,860,381,127,55,1,0,31,81,243,59,1838
Maciej Lampe,0,112,50,14,281,151,122,133,7,1,871
Salah Mejri,0,17,26,3,56,73,90,87,0,0,352
Victor Sada,385,83,59,52,12,0,45,66,1,8,711
Sergio Rodriguez,2210,392,320,333,19,1,27,52,136,66,3556
Joey Dorsey,0,12,47,9,142,133,126,213,2,0,684
Felipe Reyes,1,206,124,34,681,175,394,460,17,2,2094
Alejandro Abrines,207,269,92,22,0,2,39,58,191,22,902
Erazem Lorbek,0,60,4,0,93,30,45,20,0,0,252
Daniel Diez,44,519,153,5,60,10,172,203,76,10,1252
Marcus Slaughter,1,9,61,5,72,188,188,208,1,0,733
Oliver Lafayette,644,189,104,158,3,0,11,28,24,24,1185
Sam Van Rossom,574,160,88,86,4,0,23,40,24,34,1033
Pau Ribas,1255,378,181,77,0,0,54,63,119,73,2200
Justin Doellman,15,557,186,68,209,181,172,165,133,3,1689
Serhiy Lishchuk,0,43,8,9,117,87,99,90,2,0,455
Vladimir Lucic,100,530,223,56,159,31,227,154,74,35,1589
Jose Triguero,0,1,4,0,20,27,27,24,0,0,103
Rafael Martinez,816,349,159,58,2,1,21,30,123,79,1638
Romain Sato,68,434,97,40,223,21,65,166,49,46,1209
Vladimir Stimac,0,48,66,11,851,394,341,604,3,1,2319
Jayson Granger,2091,312,255,430,97,1,21,63,38,61,3369
Carlos Suarez,53,581,92,45,334,58,119,313,60,14,1669
Ryan Toolson,1511,432,329,187,2,1,37,59,415,149,3122
Fran Vazquez,2,245,59,10,209,388,250,322,8,3,1496
Earl Calloway,1605,410,283,381,4,0,22,115,57,40,2917
Txemi Urtasun,522,185,98,70,3,1,18,26,109,40,1072
Nik Caner-Medley,15,477,225,217,212,148,172,246,104,9,1825
Mindaugas Kuzminskas,126,343,173,79,310,29,122,206,86,32,1506
Rafael Hettsheimeir,0,74,15,1,85,57,23,42,7,1,305
Domantas Sabonis,0,25,19,4,18,17,18,28,4,0,133
Jacob Pullen,970,195,244,283,9,0,11,23,143,61,1939
Sergi Vidal,1091,431,190,107,47,1,43,92,112,51,2165
