,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22020,1626149,Montrezl Harrell,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.875,36,0.258,1.495,0.736,0.184,0.049,0.184,0.117,0.709,0.736,103,154,67,91,24
1,22020,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Cut,Offensive,0.731,33,0.148,1.421,0.716,0.215,0.056,0.206,0.093,0.692,0.716,107,152,63,88,25
2,22020,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,Cut,Offensive,0.505,33,0.192,1.252,0.633,0.113,0.052,0.096,0.017,0.626,0.633,115,144,62,98,36
3,22020,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,Cut,Offensive,0.421,35,0.264,1.207,0.636,0.224,0.052,0.207,0.034,0.655,0.636,116,140,56,88,32
4,22020,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,Cut,Offensive,0.648,34,0.209,1.351,0.724,0.149,0.085,0.149,0.043,0.66,0.724,94,127,55,76,21
5,22020,1628381,John Collins,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.553,35,0.169,1.29,0.646,0.129,0.022,0.118,0.032,0.645,0.646,93,120,53,82,29
6,22020,1626158,Richaun Holmes,1610612758,SAC,Sacramento Kings,Cut,Offensive,0.565,30,0.279,1.3,0.654,0.122,0.022,0.122,0.011,0.678,0.654,90,117,51,78,27
7,22020,203486,Mason Plumlee,1610612765,DET,Detroit Pistons,Cut,Offensive,0.903,32,0.231,1.533,0.761,0.08,0.013,0.08,0.04,0.76,0.761,75,115,54,71,17
8,22020,1627734,Domantas Sabonis,1610612754,IND,Indiana Pacers,Cut,Offensive,0.514,33,0.127,1.258,0.658,0.191,0.067,0.18,0.079,0.64,0.658,89,112,48,73,25
9,22020,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.208,32,0.227,1.089,0.61,0.139,0.109,0.139,0.01,0.564,0.61,101,110,47,77,30
10,22020,201599,DeAndre Jordan,1610612751,BKN,Brooklyn Nets,Cut,Offensive,0.796,34,0.333,1.453,0.762,0.147,0.08,0.147,0.067,0.707,0.762,75,109,48,63,15
11,22020,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.861,35,0.084,1.486,0.75,0.071,0.043,0.057,0.029,0.729,0.75,70,104,48,64,16
12,22020,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Cut,Offensive,0.981,37,0.234,1.7,0.87,0.217,0.033,0.217,0.033,0.85,0.87,60,102,40,46,6
13,22020,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Cut,Offensive,0.704,34,0.072,1.394,0.769,0.121,0.091,0.076,0.0,0.727,0.769,66,92,40,52,12
14,22020,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.718,22,0.244,1.406,0.68,0.234,0.031,0.234,0.047,0.703,0.68,64,90,34,50,16
15,22020,1628976,Wendell Carter Jr.,1610612741,CHI,Chicago Bulls,Cut,Offensive,0.657,22,0.232,1.365,0.688,0.222,0.063,0.206,0.048,0.698,0.688,63,86,33,48,15
16,22020,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.94,36,0.059,1.585,0.867,0.094,0.075,0.094,0.019,0.792,0.867,53,84,39,45,6
17,22020,1626162,Kelly Oubre Jr.,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.778,35,0.105,1.448,0.698,0.155,0.017,0.155,0.086,0.707,0.698,58,84,37,53,16
18,22020,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,Cut,Offensive,0.685,33,0.163,1.383,0.72,0.15,0.083,0.15,0.067,0.683,0.72,60,83,36,50,14
19,22020,202687,Bismack Biyombo,1610612766,CHA,Charlotte Hornets,Cut,Offensive,0.126,32,0.415,1.0,0.569,0.123,0.111,0.123,0.037,0.506,0.569,81,81,37,65,28
20,22020,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.553,34,0.172,1.29,0.646,0.258,0.016,0.258,0.048,0.677,0.646,62,80,31,48,17
21,22020,1626167,Myles Turner,1610612754,IND,Indiana Pacers,Cut,Offensive,0.898,31,0.132,1.529,0.78,0.235,0.059,0.235,0.098,0.745,0.78,51,78,32,41,9
