,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22020,202683,Enes Kanter,1610612757,POR,Portland Trail Blazers,OffRebound,Offensive,0.543,33,0.329,1.149,0.582,0.123,0.035,0.123,0.018,0.596,0.582,114,131,57,98,41
1,22020,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,OffRebound,Offensive,0.335,32,0.27,1.017,0.527,0.083,0.042,0.067,0.042,0.517,0.527,120,122,58,110,52
2,22020,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,OffRebound,Offensive,0.618,35,0.193,1.212,0.651,0.224,0.094,0.212,0.059,0.624,0.651,85,103,41,63,22
3,22020,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,OffRebound,Offensive,0.855,35,0.087,1.397,0.677,0.11,0.027,0.11,0.027,0.685,0.677,73,102,44,65,21
4,22020,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,OffRebound,Offensive,0.757,33,0.105,1.303,0.662,0.158,0.039,0.171,0.066,0.645,0.662,76,99,43,65,22
5,22020,202685,Jonas Valanciunas,1610612763,MEM,Memphis Grizzlies,OffRebound,Offensive,0.48,26,0.205,1.123,0.544,0.136,0.025,0.136,0.0,0.568,0.544,81,91,37,68,31
6,22020,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,OffRebound,Offensive,0.607,34,0.16,1.208,0.619,0.097,0.056,0.097,0.028,0.611,0.619,72,87,39,63,24
7,22020,203500,Steven Adams,1610612740,NOP,New Orleans Pelicans,OffRebound,Offensive,0.462,31,0.295,1.117,0.615,0.065,0.104,0.052,0.013,0.571,0.615,77,86,40,65,25
8,22020,1628381,John Collins,1610612737,ATL,Atlanta Hawks,OffRebound,Offensive,0.936,35,0.102,1.518,0.72,0.161,0.018,0.143,0.071,0.732,0.72,56,85,36,50,14
9,22020,203083,Andre Drummond,1610612739,CLE,Cleveland Cavaliers,OffRebound,Offensive,0.244,25,0.17,0.955,0.459,0.136,0.057,0.136,0.034,0.489,0.459,88,84,34,74,40
10,22020,1629011,Mitchell Robinson,1610612752,NYK,New York Knicks,OffRebound,Offensive,0.364,27,0.389,1.039,0.531,0.156,0.026,0.143,0.013,0.558,0.531,77,80,34,64,30
11,22020,1626149,Montrezl Harrell,1610612747,LAL,Los Angeles Lakers,OffRebound,Offensive,0.879,36,0.14,1.411,0.733,0.25,0.054,0.25,0.107,0.732,0.733,56,79,33,45,12
12,22020,2730,Dwight Howard,1610612755,PHI,Philadelphia 76ers,OffRebound,Offensive,0.376,35,0.307,1.041,0.549,0.247,0.096,0.233,0.055,0.562,0.549,73,76,28,51,23
13,22020,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,OffRebound,Offensive,0.983,22,0.164,1.651,0.824,0.279,0.0,0.256,0.07,0.837,0.824,43,71,28,34,6
14,22020,201586,Serge Ibaka,1610612746,LAC,LA Clippers,OffRebound,Offensive,0.827,36,0.136,1.34,0.638,0.132,0.019,0.113,0.038,0.66,0.638,53,71,30,47,17
