,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22020,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.8,29,0.348,1.087,0.526,0.255,0.133,0.217,0.049,0.548,0.526,263,286,91,173,82
1,22020,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.657,35,0.246,1.029,0.532,0.15,0.141,0.112,0.049,0.5,0.532,206,212,83,156,73
2,22020,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,Postup,Offensive,0.495,35,0.237,0.927,0.503,0.073,0.125,0.052,0.016,0.464,0.503,192,178,79,157,78
3,22020,203944,Julius Randle,1610612752,NYK,New York Knicks,Postup,Offensive,0.543,36,0.186,0.961,0.477,0.191,0.145,0.164,0.066,0.474,0.477,152,146,53,111,58
4,22020,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Postup,Offensive,0.924,29,0.157,1.206,0.595,0.159,0.065,0.103,0.009,0.607,0.595,107,129,50,84,34
5,22020,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.667,36,0.139,1.032,0.559,0.16,0.176,0.128,0.08,0.496,0.559,125,129,52,93,41
6,22020,1627734,Domantas Sabonis,1610612754,IND,Indiana Pacers,Postup,Offensive,0.4,33,0.206,0.889,0.49,0.16,0.188,0.125,0.014,0.472,0.49,144,128,47,96,49
7,22020,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.648,34,0.126,1.026,0.557,0.259,0.138,0.259,0.078,0.5,0.557,116,119,44,79,35
8,22020,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.581,33,0.157,0.982,0.512,0.195,0.106,0.195,0.044,0.513,0.512,113,111,42,82,40
9,22020,2546,Carmelo Anthony,1610612757,POR,Portland Trail Blazers,Postup,Offensive,0.562,32,0.257,0.965,0.439,0.139,0.043,0.104,0.035,0.478,0.439,115,111,43,98,55
10,22020,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,Postup,Offensive,0.486,34,0.267,0.925,0.51,0.108,0.142,0.1,0.058,0.45,0.51,120,111,49,96,47
11,22020,203083,Andre Drummond,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.286,25,0.263,0.816,0.438,0.176,0.147,0.169,0.029,0.434,0.438,136,111,42,96,54
