,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
5827,352,167,96,94,31,1,34,31,87,69,1,,,,,,,,,,,,,,,,,,,,,,
5787,0,122,105,19,304,167,125,97,20,1,5,,,,,,,,,,,,,,,,,,,,,,
5791,595,74,140,70,0,2,9,24,16,29,2,,,,,,,,,,,,,,,,,,,,,,
5937,684,69,58,36,3,0,15,23,19,24,2,,,,,,,,,,,,,,,,,,,,,,
7407,205,119,113,149,124,2,39,22,92,9,6,,,,,,,,,,,,,,,,,,,,,,
5800,442,91,106,47,0,0,5,21,24,15,2,,,,,,,,,,,,,,,,,,,,,,
5886,482,34,57,80,0,0,8,9,20,25,2,,,,,,,,,,,,,,,,,,,,,,
7279,400,34,56,132,2,0,4,11,27,36,2,,,,,,,,,,,,,,,,,,,,,,
7820,358,49,81,89,13,0,6,25,20,22,2,,,,,,,,,,,,,,,,,,,,,,
6036,290,115,39,64,16,1,23,13,64,35,1,,,,,,,,,,,,,,,,,,,,,,
6019,41,111,77,157,110,34,32,63,18,12,0,,,,,,,,,,,,,,,,,,,,,,
7428,419,71,59,49,0,0,6,9,13,24,2,,,,,,,,,,,,,,,,,,,,,,
7992,382,42,75,65,2,0,2,14,19,40,2,,,,,,,,,,,,,,,,,,,,,,
7963,401,43,53,45,5,0,13,6,16,15,2,,,,,,,,,,,,,,,,,,,,,,
5895,344,42,79,49,8,0,8,26,20,20,2,,,,,,,,,,,,,,,,,,,,,,
7408,20,136,53,74,129,37,54,68,18,5,0,,,,,,,,,,,,,,,,,,,,,,
7254,324,74,51,24,8,1,6,4,52,46,2,,,,,,,,,,,,,,,,,,,,,,
7823,1,43,44,29,229,112,57,67,6,2,5,,,,,,,,,,,,,,,,,,,,,,
7482,14,115,30,33,200,72,66,44,13,0,5,,,,,,,,,,,,,,,,,,,,,,
