,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Dwyane Wade,4872,818,1207,1149,1232,26,484,437,396,364,10985
Danny Green,751,2193,1168,127,42,21,212,350,512,282,5658
Lebron James,863,199,477,612,514,64,121,92,86,7,3035
Kawhi Leonard,3109,1734,1487,1471,1223,60,310,605,523,463,10985
Tim Duncan,6,280,169,98,1235,757,635,556,52,13,3801
Tony Parker,6060,796,855,696,31,0,119,97,307,329,9290
Chris Bosh,17,1019,198,429,487,725,282,236,218,29,3640
Manu Ginobili,2767,1038,515,332,32,11,209,165,294,346,5709
Ray Allen,212,278,115,48,11,12,19,35,228,5,963
Rashard Lewis,6,205,44,7,34,40,10,29,15,0,390
Boris Diaw,125,804,253,159,1051,367,278,308,61,37,3443
Patrick Mills,730,379,217,62,0,0,58,64,125,89,1724
Tiago Splitter,2,48,108,21,313,264,406,335,1,4,1502
Shane Battier,4,239,28,14,5,25,12,37,5,1,370
Norris Cole,1806,586,387,161,2,9,46,43,45,116,3201
Marco Belinelli,1586,1413,640,100,13,17,432,109,1039,715,6064
Udonis Haslem,2,199,59,14,29,150,174,171,11,4,813
Chris Andersen,0,86,49,31,16,195,309,310,4,0,1000
Mario Chalmers,2582,741,506,232,7,14,89,104,157,175,4607
Michael Beasley,136,598,314,550,429,295,212,232,123,64,2953
Aron Baynes,4,307,153,27,467,645,661,781,24,12,3081
Cory Joseph,3760,1048,625,536,30,7,116,294,116,243,6775
James Jones,19,445,102,12,14,71,8,30,103,30,834
Jeff Ayres,0,30,44,6,65,93,161,157,1,1,558
Toney Douglas,735,234,186,108,0,0,40,61,25,77,1466
Matt Bonner,3,371,54,5,6,61,24,49,22,7,602
Kevin Durant,3862,1241,2237,2294,1480,411,532,288,1416,345,14106
Reggie Jackson,6863,995,1103,1022,34,9,127,285,117,328,10883
Serge Ibaka,7,1941,908,292,810,2051,791,1091,158,31,8080
Russell Westbrook,9795,1155,3599,3348,1625,17,273,920,196,411,21339
Steven Adams,10,21,422,22,1216,1222,1136,1967,6,1,6023
Jeremy Lamb,2396,1061,684,521,31,10,259,273,601,340,6176
Derek Fisher,170,222,76,44,3,0,3,18,43,23,602
David West,13,646,201,276,1312,839,461,484,163,15,4410
Lance Stephenson,2777,954,718,932,151,2,201,315,145,155,6350
Paul George,3951,1384,1833,1921,644,168,308,451,1656,487,12803
Roy Hibbert,4,245,66,62,1411,393,431,643,45,5,3305
George Hill,3913,1054,834,470,112,31,236,358,318,315,7641
Luis Scola,6,656,296,39,537,623,274,386,75,11,2903
Chris Copeland,61,239,72,96,94,60,17,37,91,28,795
CJ Watson,899,361,309,130,3,5,58,55,87,48,1955
Donald Sloan,1246,241,211,162,3,0,52,38,24,77,2054
Lavoy Allen,0,252,113,39,243,255,315,555,11,3,1786
Rasual Butler,95,331,169,32,27,5,31,44,180,53,967
Kendrick Perkins,0,28,44,32,187,152,213,245,0,1,902
Nick Collison,3,154,36,29,27,216,243,313,16,4,1041
Caron Butler,166,592,190,158,86,39,21,62,90,36,1440
Perry Jones,36,194,77,70,58,39,52,42,28,13,609
Thabo Sefolosha,404,954,571,80,55,35,280,296,109,95,2879
Ian Mahinmi,4,144,151,40,270,442,738,727,13,4,2533
Evan Turner,3107,986,948,798,690,14,229,307,234,455,7768
Andre Roberson,77,569,408,20,6,24,303,411,10,37,1865
JJ Redick,1099,1377,1153,120,4,98,187,104,2107,1564,7813
Blake Griffin,1149,1243,1261,1095,3599,1436,568,782,254,118,11505
Matt Barnes,274,1256,730,106,78,70,300,308,152,76,3350
Chris Paul,9616,717,1251,2293,307,11,57,317,104,330,15003
Glen Davis,1,152,36,49,283,320,169,173,9,2,1194
Jamal Crawford,3733,1320,867,1549,22,11,58,136,307,463,8466
Danny Granger,79,234,111,52,99,8,21,57,96,22,779
Darren Collison,4539,989,1350,706,4,3,157,208,107,260,8323
DeAndre Jordan,2,28,530,32,589,1027,1316,2120,2,0,5646
Marcin Gortat,3,157,339,61,1265,1279,1506,1265,28,4,5907
Nene Hilario,26,328,308,288,1166,825,653,462,18,4,4078
Trevor Ariza,953,2596,1796,337,99,153,258,485,482,293,7452
John Wall,8375,1098,2367,2255,230,0,56,230,98,221,14930
Bradley Beal,5535,1496,1984,1204,126,30,464,452,1711,929,13931
Martell Webster,145,342,134,39,40,4,50,53,128,45,980
Andre Miller,747,102,118,165,248,1,66,86,16,15,1564
Al Harrington,1,65,26,15,12,41,13,14,1,0,188
Drew Gooden,6,253,69,34,41,156,55,173,14,5,806
Kevin Seraphin,3,93,86,35,767,227,275,267,9,2,1764
Otto Porter,836,1306,961,138,123,122,404,551,482,186,5109
LaMarcus Aldridge,36,1550,475,488,5513,2072,722,1454,240,38,12588
Nicolas Batum,3348,1297,698,470,468,24,229,459,825,698,8516
Wesley Matthews,1080,2000,904,432,952,103,226,225,913,393,7228
Robin Lopez,4,391,149,56,1172,1315,936,1498,18,30,5569
Damian Lillard,11599,1047,1596,2776,35,14,373,378,714,980,19512
Thomas Robinson,10,174,186,148,123,303,202,473,4,6,1629
CJ McCollum,5208,1426,1364,1289,10,33,221,319,946,780,11596
Will Barton,2889,1173,1305,557,50,8,273,370,114,365,7104
Joel Freeland,0,69,33,6,76,86,100,160,2,2,534
Deron Williams,3528,692,532,749,331,16,89,91,408,188,6624
Paul Pierce,381,1033,438,272,224,224,108,95,255,43,3073
Kevin Garnett,3,283,62,14,226,223,108,142,18,10,1089
Joe Johnson,2072,1395,475,1048,1432,98,73,230,363,134,7320
Alan Anderson,303,615,209,256,40,1,76,93,87,31,1711
Andray Blatche,8,200,86,174,200,122,136,147,13,8,1094
Shaun Livingston,1293,224,620,426,687,26,653,326,61,117,4433
Andrei Kirilenko,14,39,44,35,36,10,105,77,13,9,382
Marcus Thorton,93,96,74,39,9,1,17,23,37,15,404
Mirza Teletovic,54,1175,398,66,257,281,83,191,233,118,2856
Garrett Temple,1080,1071,731,184,12,13,161,202,275,195,3924
Trevor Booker,10,495,403,134,511,512,439,766,15,24,3309
Earl Watson,27,10,4,5,0,0,0,5,0,1,52
Dorell Wright,88,280,139,29,7,59,15,44,34,19,714
Victor Claver,6,45,13,3,5,18,14,16,5,1,126
Jared Dudley,112,1198,574,21,106,273,136,223,198,35,2876
Maurice Williams,2219,405,373,235,2,3,28,74,149,196,3684
Mason Plumlee,27,203,584,295,920,939,1187,1135,15,17,5322
Willie Green,295,259,154,62,5,4,16,29,80,37,941
Meyers Leonard,15,751,190,53,182,531,314,271,51,17,2375
Jorge Gutierrez,126,42,28,16,2,0,24,13,12,10,273
Ryan Hollins,0,12,24,3,63,93,102,124,2,1,424
Reggie Bullock,321,614,333,13,2,17,154,110,247,343,2154
Dirk Nowitzki,54,1540,544,413,2269,1252,185,205,498,75,7035
Monta Ellis,4771,906,956,619,77,6,115,147,284,333,8214
Jose Calderon,2507,702,253,135,2,8,47,118,177,256,4205
Samuel Dalembert,0,38,45,14,60,193,235,300,8,1,894
Vince Carter,1364,1358,358,273,352,95,130,254,242,200,4626
DeJuan Blair,2,13,73,16,89,259,216,223,5,5,901
Shawn Marion,84,325,219,33,116,114,293,227,9,14,1434
Devin Harris,1948,942,633,241,1,6,132,81,168,154,4306
Shane Larkin,1836,319,223,217,0,0,94,90,59,137,2975
Wayne Ellington,817,966,516,105,6,50,103,128,702,693,4086
Brandan Wright,3,61,118,33,81,416,399,314,4,6,1435
Jae Crowder,656,2215,1156,144,157,233,412,453,407,349,6182
Jonas Valanciunas,15,299,287,170,1960,1187,1146,1433,34,12,6543
Amir Johnson,7,390,304,135,312,701,726,901,11,4,3491
Terrence Ross,1407,1618,865,339,10,9,137,175,1196,415,6171
