,Stretch bigs,Playmakers,Ball handlers,Driving bigs,Spot-up shooters,Low-post bigs,Off-ball wings
P&R Ball Handler,0.01938043933601749,0.4188848023281786,0.595321923215768,0.0024562410547681046,0.05733922993638088,0.0028199652764742678,0.2162578545146218
Spot-Up,0.25927430804415297,0.18912437399293966,0.12826801094327173,0.07362480129693211,0.41153170969416053,0.07350732122818826,0.275898667262177
Transition,0.10502583095844285,0.1278609863061371,0.09016512076546597,0.07027617429546498,0.13714558171699165,0.05514668971106348,0.16090862408824474
ISO,0.051280353923147226,0.09042431447714289,0.08631823667355015,0.017541366487453254,0.036357106078529336,0.024284105138097742,0.0673429778243128
Post-Up,0.16942649147683322,0.01649639298285599,0.005903366782695527,0.15715728103179688,0.04675348957373201,0.3575656665268274,0.028360984580638612
P&R Roll Man,0.11003808809152646,0.0012560031773199143,0.0003801690388003723,0.21500625441204307,0.04198754699536139,0.15296818337022905,0.005129439210200065
Cut,0.11245555244053228,0.027375328662458023,0.013241678984194885,0.21408282457219052,0.0779356385354496,0.15237879819160058,0.047257537377914736
Offensive Rebound,0.13700391158544434,0.04496925915387977,0.0294841670623638,0.24382861445716714,0.11645035798400294,0.17298619600139192,0.06922093904167746
Off Screen,0.029170829864760793,0.051166982577087794,0.023609915060352177,0.004003781216972611,0.05632177220866033,0.0068161111531336305,0.09021782323308032
Hand Off,0.0069441942791425015,0.03244155634200013,0.027307411473537217,0.0020226611752115035,0.018177567276731352,0.001526963402993596,0.03940515286713242
